number,id,factual1,relevant1,fluent1,factual2,relevant2,fluent2,factual3,relevant3,fluent3,Summary 1,Summary 2,Summary 3
41,6557,3,4,4,4,5,5,4,5,5,T5,T5_BBOX,Gold Standard
42,4903,4,5,5,3,3,5,5,5,5,T5_BBOX,T5,Gold Standard
43,281,5,5,5,5,5,5,4,5,5,T5_BBOX,T5,Gold Standard
44,3361,3,5,5,5,5,5,5,5,5,T5_BBOX,T5,Gold Standard
45,7480,5,5,5,4,4,5,5,5,5,T5,T5_BBOX,Gold Standard
46,3463,4,5,4,3,4,3,5,5,5,T5,T5_BBOX,Gold Standard
47,3404,5,5,5,4,4,5,4,5,5,Gold Standard,T5_BBOX,T5
48,2904,5,5,5,5,5,5,2,5,5,Gold Standard,T5,T5_BBOX
49,7236,4,5,5,3,4,5,4,5,5,T5,T5_BBOX,Gold Standard
50,1134,4,4,4,5,4,5,3,4,5,Gold Standard,T5_BBOX,T5
51,1956,5,5,5,4,4,5,1,4,5,Gold Standard,T5,T5_BBOX
52,1956,4,4,5,5,5,5,1,4,5,T5,Gold Standard,T5_BBOX
53,4419,5,5,5,5,5,5,5,5,5,T5_BBOX,T5,Gold Standard
54,3463,4,5,4,5,4,4,2,4,5,Gold Standard,T5,T5_BBOX
55,4423,5,3,5,4,4,5,5,3,5,Gold Standard,T5,T5_BBOX
56,2532,5,2,5,5,4,5,5,2,5,T5,T5_BBOX,Gold Standard
57,6980,5,3,5,5,5,5,5,3,5,Gold Standard,T5_BBOX,T5
58,6435,4,4,5,3,4,5,5,3,5,Gold Standard,T5_BBOX,T5
59,6273,5,4,5,5,4,5,4,5,5,T5,Gold Standard,T5_BBOX
60,5302,3,3,5,3,4,5,5,3,5,Gold Standard,T5_BBOX,T5
61,7531,4,4,5,2,4,5,2,3,5,T5_BBOX,Gold Standard,T5
62,5610,4,4,5,5,4,5,1,4,5,T5,Gold Standard,T5_BBOX
63,770,5,4,5,5,3,5,5,5,5,T5,T5_BBOX,Gold Standard
64,6000,5,5,5,5,4,4,5,3,5,Gold Standard,T5_BBOX,T5
65,2309,5,4,5,4,4,5,5,4,5,T5_BBOX,Gold Standard,T5
66,756,5,5,5,5,4,5,5,3,5,T5_BBOX,T5,Gold Standard
67,2798,5,4,5,5,4,5,3,4,5,Gold Standard,T5,T5_BBOX
68,6703,4,2,5,3,4,5,1,4,5,Gold Standard,T5,T5_BBOX
69,5302,5,5,5,5,4,5,5,5,5,T5,T5_BBOX,Gold Standard
70,5068,5,3,5,5,5,5,5,5,5,T5_BBOX,T5,Gold Standard
71,94,5,5,5,1,4,5,5,5,5,Gold Standard,T5_BBOX,T5
72,3821,5,5,5,4,5,5,1,1,5,T5,Gold Standard,T5_BBOX
73,6557,1,4,5,5,4,5,4,2,5,Gold Standard,T5_BBOX,T5
74,6000,1,3,5,4,5,5,5,3,5,T5_BBOX,Gold Standard,T5
75,6177,5,5,5,5,5,5,2,5,5,T5,Gold Standard,T5_BBOX
76,2282,2,4,5,5,5,5,5,4,5,T5_BBOX,T5,Gold Standard
77,3928,5,5,5,1,3,4,5,5,5,Gold Standard,T5_BBOX,T5
78,1874,2,3,2,5,5,5,4,3,5,Gold Standard,T5,T5_BBOX
79,3336,5,5,5,5,4,5,5,4,5,T5,Gold Standard,T5_BBOX
80,6313,5,5,5,5,4,5,5,5,5,T5,T5_BBOX,Gold Standard
81,281,5,5,5,5,4,5,2,4,5,T5,T5_BBOX,Gold Standard
82,7545,1,3,5,5,5,5,5,5,5,T5_BBOX,Gold Standard,T5
83,3463,5,5,5,5,5,5,2,4,5,T5,Gold Standard,T5_BBOX
84,2532,3,2,5,5,4,5,4,2,5,T5,T5_BBOX,Gold Standard
85,5311,5,5,5,5,5,5,1,2,5,T5,Gold Standard,T5_BBOX
86,705,5,5,5,5,5,4,4,2,5,T5_BBOX,Gold Standard,T5
87,6313,5,4,5,5,5,5,5,5,5,T5_BBOX,Gold Standard,T5
88,6933,5,5,5,1,3,5,5,4,5,Gold Standard,T5_BBOX,T5
89,2309,2,3,5,5,4,5,4,4,4,T5,T5_BBOX,Gold Standard
90,7540,3,3,5,4,4,5,4,2,5,T5_BBOX,T5,Gold Standard
91,2186,5,4,5,4,4,3,4,1,5,Gold Standard,T5,T5_BBOX
92,2008,3,2,5,3,4,3,4,3,5,T5,T5_BBOX,Gold Standard
93,797,1,3,5,5,5,5,5,5,5,T5_BBOX,Gold Standard,T5
94,7531,4,4,5,4,4,5,5,4,4,Gold Standard,T5_BBOX,T5
95,4262,5,4,5,3,4,5,5,4,5,Gold Standard,T5,T5_BBOX
96,3148,2,2,5,2,4,5,4,3,5,T5,T5_BBOX,Gold Standard
97,7674,2,2,5,5,4,5,5,3,5,T5,T5_BBOX,Gold Standard
98,968,5,4,5,2,4,5,4,3,5,T5,Gold Standard,T5_BBOX
99,0,5,4,5,2,3,5,5,4,5,Gold Standard,T5_BBOX,T5
